feature,importance
h5p_total_score,26.935248342133498
h5p_total_contents,14.643980592163787
h5p_overall_percentage,13.313627388851215
h5p_total_time_spent,12.834644935719288
h5p_completion_rate,8.953479229257052
weeks_since_enrollment,8.153710479461184
h5p_total_max_score,7.923686107096952
h5p_completed_contents,7.241622925317036
progress_percent,0.0
mooc_completion_rate,0.0
is_active,0.0
enrollment_mode,0.0
active_days,0.0
access_frequency,0.0
days_since_last_activity,0.0
total_blocks,0.0
overall_completion,0.0
completed_blocks,0.0
video_total_videos,0.0
video_completed_videos,0.0
video_in_progress_videos,0.0
video_total_duration,0.0
video_total_watched_time,0.0
video_completion_rate,0.0
video_watch_rate,0.0
quiz_attempts,0.0
quiz_avg_score,0.0
quiz_completion_rate,0.0
forum_posts,0.0
forum_comments,0.0
forum_upvotes,0.0
discussion_threads_count,0.0
discussion_comments_count,0.0
discussion_total_interactions,0.0
discussion_questions_count,0.0
discussion_total_upvotes,0.0
relative_to_course_problem_score,0.0
relative_to_course_completion,0.0
relative_to_course_video_completion,0.0
relative_to_course_discussion,0.0
performance_percentile,0.0
is_below_course_average,0.0
is_top_performer,0.0
is_bottom_performer,0.0
