feature,importance
mooc_completion_rate,24.14045987620475
days_since_last_activity,21.076420793536887
h5p_total_time_spent,5.83070979833808
progress_percent,5.374540563613644
quiz_attempts,4.643439230200962
overall_completion,4.245098938781494
h5p_total_score,3.864665725212404
weeks_since_enrollment,3.789942458812716
video_completed_videos,3.4937646151984674
video_total_watched_time,3.3005489827491763
video_total_videos,2.8431710179553713
performance_percentile,2.0980455524520205
h5p_total_contents,1.900898340034609
completed_blocks,1.7604931603221914
video_watch_rate,1.5801743434853917
relative_to_course_discussion,1.4149051150060719
h5p_total_max_score,1.2880139240946638
discussion_comments_count,1.020615176272416
enrollment_mode,0.8140909301517275
total_blocks,0.7066781093885312
h5p_overall_percentage,0.6340865265473803
h5p_completion_rate,0.6092545919829163
quiz_avg_score,0.5699061987878891
video_total_duration,0.4642048315681108
h5p_completed_contents,0.4049253879116585
discussion_total_interactions,0.3740867158387951
video_completion_rate,0.3584889605578308
discussion_threads_count,0.35375961544053036
quiz_completion_rate,0.3058093380943539
is_top_performer,0.2915553652182341
discussion_total_upvotes,0.22341562457523362
video_in_progress_videos,0.17736549219110026
discussion_questions_count,0.046464699474431465
active_days,0.0
is_active,0.0
access_frequency,0.0
forum_comments,0.0
forum_posts,0.0
forum_upvotes,0.0
relative_to_course_problem_score,0.0
relative_to_course_video_completion,0.0
relative_to_course_completion,0.0
is_below_course_average,0.0
is_bottom_performer,0.0
