iter	Logloss
0	0.629841601
1	0.5769437096
2	0.5277748175
3	0.4859158985
4	0.4509784327
5	0.417142878
6	0.3924163227
7	0.3721145986
8	0.3540721086
9	0.3355408605
10	0.3213529814
11	0.3066692214
12	0.291680811
13	0.2748663714
14	0.2600859793
15	0.2555679023
16	0.248124339
17	0.2400206573
18	0.2344409517
19	0.2278811217
20	0.2215769357
21	0.216390435
22	0.2131721847
23	0.2088503501
24	0.2043073715
25	0.2013001603
26	0.1959335596
27	0.193591208
28	0.1918471923
29	0.1888527715
30	0.186327727
31	0.1848535504
32	0.1816987199
33	0.1786437676
34	0.1769000658
35	0.1745259977
36	0.1707089583
37	0.1683484868
38	0.1659567259
39	0.1645734857
40	0.1630552928
41	0.1615986545
42	0.1594460434
43	0.1583998736
44	0.1566703385
45	0.1554429969
46	0.1544744742
47	0.1525322187
48	0.1515303296
49	0.1499622135
50	0.1490601207
51	0.1482259763
52	0.1471422879
53	0.1451579021
54	0.1435540199
55	0.1419143199
56	0.1410891657
57	0.140194207
58	0.1388989759
59	0.1374741289
60	0.1368495226
61	0.135287933
62	0.1343375641
63	0.13348805
64	0.1327600861
65	0.1319078173
66	0.1315478822
67	0.1308883537
68	0.1299842594
69	0.1291291857
70	0.127996741
71	0.1270284143
72	0.1266121268
73	0.1256558063
74	0.1246371991
75	0.1233343645
76	0.1226446255
77	0.1213034413
78	0.1202976453
79	0.1199482764
80	0.1188024233
81	0.1179116846
82	0.1169485002
83	0.1166253187
84	0.1157127129
85	0.1150993966
86	0.1144922158
87	0.1140077535
88	0.113493215
89	0.1128828242
90	0.1125851259
91	0.1118888963
92	0.1115832526
93	0.1109919265
94	0.1097072257
95	0.108826914
96	0.1085434694
97	0.1080093194
98	0.1075785589
99	0.1071775782
