iter	Passed	Remaining
0	204	203820
1	287	143245
2	391	130030
3	464	115765
4	548	109075
5	663	109878
6	744	105566
7	821	101849
8	914	100681
9	992	98276
10	1094	98437
11	1182	97328
12	1271	96516
13	1385	97561
14	1465	96215
15	1598	98321
16	1694	98003
17	1790	97692
18	1876	96878
19	1956	95887
20	2037	94965
21	2110	93819
22	2180	92639
23	2248	91428
24	2331	90926
25	2403	90034
26	2481	89425
27	2560	88899
28	2642	88492
29	2756	89126
30	2838	88714
31	2910	88032
32	2983	87434
33	3053	86759
34	3127	86240
35	3199	85675
36	3271	85160
37	3344	84671
38	3415	84166
39	3500	84011
40	3594	84079
41	3686	84097
42	3771	83928
43	3885	84426
44	4050	85960
45	4124	85538
46	4205	85278
47	4320	85697
48	4419	85771
49	4524	85971
50	4710	87659
51	4785	87234
52	4874	87105
53	4946	86658
54	5030	86431
55	5120	86320
56	5190	85867
57	5264	85508
58	5337	85123
59	5405	84687
60	5474	84271
61	5553	84013
62	5622	83626
63	5689	83202
64	5757	82819
65	5830	82511
66	5908	82282
67	5978	81945
68	6053	81683
69	6146	81657
70	6220	81388
71	6293	81110
72	6375	80960
73	6445	80657
74	6562	80939
75	6715	81648
76	6819	81743
77	6908	81660
78	7004	81656
79	7066	81259
80	7129	80892
81	7212	80748
82	7303	80688
83	7395	80641
84	7464	80355
85	7536	80097
86	7615	79920
87	7688	79681
88	7760	79436
89	7830	79174
90	7906	78975
91	7984	78801
92	8065	78658
93	8144	78497
94	8217	78286
95	8294	78108
96	8364	77864
97	8434	77629
98	8509	77446
