id,user_id,course_id,enrollment_mode,is_active,weeks_since_enrollment,mooc_grade_percentage,mooc_letter_grade,mooc_is_passed,progress_percent,current_chapter,current_section,current_unit,mooc_completion_rate,overall_completion,completed_blocks,total_blocks,last_activity,days_since_last_activity,access_frequency,active_days,h5p_total_contents,h5p_completed_contents,h5p_total_score,h5p_total_max_score,h5p_overall_percentage,h5p_total_time_spent,h5p_completion_rate,video_total_videos,video_completed_videos,video_in_progress_videos,video_total_duration,video_total_watched_time,video_completion_rate,video_watch_rate,quiz_attempts,h5p_avg_score,quiz_completion_rate,forum_posts,forum_comments,forum_upvotes,discussion_threads_count,discussion_comments_count,discussion_total_interactions,discussion_questions_count,discussion_total_upvotes,relative_to_course_problem_score,relative_to_course_completion,relative_to_course_video_completion,relative_to_course_discussion,performance_percentile,is_below_course_average,is_top_performer,is_bottom_performer,updated_at,extraction_batch_id,is_passed
1,4,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,19.0,9.0,,0.0,32.6,Chương 3: Chức năng của thị trường tài chính,Slide bài giảng tóm tắt chương 3,Slide bài giảng tóm tắt chương 3,35.04,32.6,59,181,2025-12-20 09:11:55,93,0.0,0,29,29,4886,4900,99.47,10528,100.0,32,30,2,25533,24913,93.75,97.57,29,99.47,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,0
2,5,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,9.0,,0.0,100.0,Chương 4: Cấu trúc thị trường tài chính,Thị trường chứng khoán phái sinh,Thị trường chứng khoán phái sinh (tiếp theo),41.03,100.0,181,181,2025-12-24 16:33:07,89,0.0,0,90,90,8967,8967,100.0,6825,100.0,91,91,0,70352,30662,100.0,43.58,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,0
3,7,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,44.0,2.0,,0.0,18.78,Chương 6: Chi phí giao dịch và thông tin bất cân xứng,Khái niệm và phân loại chi phí giao dịch,Khái niệm và phân loại chi phí giao dịch,17.09,18.78,34,181,2025-10-24 07:09:33,150,0.0,0,17,17,2646,2653,99.02,1848,100.0,17,17,0,13130,13130,100.0,100.0,17,99.02,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,0
4,8,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,38.0,0.0,,0.0,1.1,Giới thiệu,Giới thiệu môn học,Giới thiệu,0.85,1.1,2,181,2025-06-26 08:27:12,270,0.0,0,1,1,77,77,100.0,0,100.0,1,1,0,843,843,100.0,100.0,1,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,0
5,9,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,9.0,,0.0,3.31,"Bài kiểm tra 02: Tổng quan về hệ thống tài chính (Chương 3, 4, 5)","Bài kiểm tra 02: Tổng quan về hệ thống tài chính (Chương 3, 4, 5)","Bài kiểm tra 02: Tổng quan về hệ thống tài chính (Chương 3, 4, 5)",6.84,3.31,6,181,2025-11-04 03:49:10,139,0.0,0,3,3,189,189,100.0,0,100.0,3,3,0,2600,2600,100.0,100.0,3,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,0
6,18,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,12.0,0.0,,,0.0,Chưa bắt đầu,N/A,N/A,0.0,0.0,0,0,,999,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50.0,0,0,0,2026-03-23 10:33:23,,0
7,19,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,21.0,6.0,,0.0,100.0,Chương 1: Đại cương về tiền tệ,Phương thức thanh toán,Phương thức thanh toán,20.51,100.0,181,181,2025-10-31 14:59:37,143,0.0,0,90,90,6293,6293,100.0,1379,100.0,91,91,0,70352,15954,100.0,22.68,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,0
8,44,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,32.0,0.0,,0.0,5.52,Giới thiệu,Tổng quan khóa học,Tổng quan khóa học,5.13,5.52,10,181,2026-01-17 04:01:44,65,0.0,0,5,5,581,581,100.0,0,100.0,5,5,0,4222,4222,100.0,100.0,5,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,0
9,65,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,28.0,0.0,,0.0,0.0,Chưa bắt đầu,N/A,N/A,0.0,0.0,0,0,,999,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50.0,0,0,0,2026-03-23 10:33:23,,0
10,102,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,29.0,0.0,,0.0,0.0,Chưa bắt đầu,N/A,N/A,0.0,0.0,0,0,,999,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50.0,0,0,0,2026-03-23 10:33:23,,0
11,113,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,29.0,0.0,,0.0,0.0,Chưa bắt đầu,N/A,N/A,0.0,0.0,0,0,,999,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50.0,0,0,0,2026-03-23 10:33:23,,0
12,114,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,29.0,0.0,,0.0,0.0,Chưa bắt đầu,N/A,N/A,0.0,0.0,0,0,,999,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50.0,0,0,0,2026-03-23 10:33:23,,0
13,122,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,28.0,0.0,,0.0,9.39,Chương 6: Chi phí giao dịch và thông tin bất cân xứng,Khái niệm Thông tin bất cân xứng,Khái niệm Thông tin bất cân xứng,7.69,9.39,17,181,2025-10-10 13:21:07,164,0.0,0,8,8,970,970,100.0,0,100.0,9,9,0,7360,7360,100.0,100.0,8,100.0,100.0,0,0,0,5,9,14,0,5,0.0,0.0,0.0,14.0,90.0,0,1,0,2026-03-23 10:33:23,,0
14,127,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,91.0,Pass,1.0,100.0,"Bài kiểm tra 04_Các vấn đề cơ bản về lãi suất (Chương 8,9,10,11)","Bài kiểm tra 04_Các vấn đề cơ bản về lãi suất (Chương 8,9,10,11)","Bài kiểm tra 04_Các vấn đề cơ bản về lãi suất (Chương 8,9,10,11)",99.15,100.0,181,181,2025-10-29 19:01:11,145,0.0,0,90,90,10145,10145,100.0,0,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
15,128,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,90.0,Pass,1.0,98.9,Tổng kết môn học,Tổng kết môn học,Tổng kết môn học,93.16,98.9,179,181,2025-11-13 02:17:54,130,0.0,0,89,89,10090,10090,100.0,0,100.0,90,90,0,69510,69510,100.0,100.0,89,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
16,130,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,76.0,Pass,1.0,100.0,Tổng kết môn học,Tổng kết môn học,Tổng kết môn học,99.15,100.0,181,181,2025-11-02 04:28:32,141,0.0,0,90,90,10145,10145,100.0,34880,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
17,131,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,84.0,Pass,1.0,100.0,Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),99.15,100.0,181,181,2025-11-12 17:45:34,131,0.0,0,90,90,10145,10145,100.0,0,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
18,132,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,26.0,84.0,Pass,1.0,100.0,Chương 6: Chi phí giao dịch và thông tin bất cân xứng,Slide bài giảng tóm tắt chương 6,Bài đọc mở rộng Chương 6,99.15,100.0,181,181,2025-11-23 09:16:44,120,0.0,0,90,90,10145,10145,100.0,246785,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
19,133,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,9.0,,0.0,11.05,Chương 12: Một số vấn đề cơ bản về tỷ giá,Slide bài giảng tóm tắt chương 12,Slide bài giảng tóm tắt chương 12,21.37,11.05,20,181,2025-10-27 08:15:00,147,0.0,0,10,10,925,925,100.0,0,100.0,10,10,0,8381,8381,100.0,100.0,10,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,0
20,137,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,82.0,Pass,1.0,100.0,Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),99.15,100.0,181,181,2025-11-10 14:29:01,133,0.0,0,90,90,10145,10145,100.0,27180,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
21,140,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,86.0,Pass,1.0,100.0,Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),100.0,100.0,181,181,2025-11-02 13:50:31,141,0.0,0,90,90,10145,10145,100.0,23480,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
22,141,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,89.0,Pass,1.0,100.0,Chương 1: Đại cương về tiền tệ,Slide bài giảng tóm tắt chương 1,Slide Bài giảng tóm tắt chương 1,99.15,100.0,181,181,2025-11-14 02:24:12,129,0.0,0,90,90,10145,10145,100.0,0,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
23,142,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,26.0,83.0,Pass,1.0,91.71,Chương 12: Một số vấn đề cơ bản về tỷ giá,Slide bài giảng tóm tắt chương 12,Slide bài giảng tóm tắt chương 12,94.87,91.71,166,181,2025-12-07 16:30:47,106,0.0,0,82,33,4855,9145,56.15,28340,40.24,91,84,7,70351,67943,92.31,96.58,33,56.15,40.24,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
24,143,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,89.0,Pass,1.0,98.9,Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),98.29,98.9,179,181,2025-10-15 11:24:54,159,0.0,0,89,89,10020,10020,100.0,0,100.0,90,90,0,69606,69606,100.0,100.0,89,100.0,100.0,0,0,0,1,12,13,0,2,0.0,0.0,0.0,13.0,90.0,0,1,0,2026-03-23 10:33:23,,1
25,144,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,94.0,Pass,1.0,100.0,Tổng kết môn học,Tổng kết môn học,Tổng kết môn học,100.0,100.0,181,181,2025-11-03 11:11:06,140,0.0,0,90,90,10145,10145,100.0,0,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,10,10,0,0,0.0,0.0,0.0,10.0,90.0,0,1,0,2026-03-23 10:33:23,,1
26,147,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,24.0,79.0,Pass,1.0,100.0,Tổng kết môn học,Tổng kết môn học,Tổng kết môn học,99.15,100.0,181,181,2025-11-16 08:00:50,127,0.0,0,90,90,10145,10145,100.0,0,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
27,149,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,89.0,Pass,1.0,100.0,Tổng kết môn học,Tổng kết môn học,Tổng kết môn học,99.15,100.0,181,181,2025-11-22 17:29:45,121,0.0,0,90,90,10145,10145,100.0,0,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
28,150,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,28.0,0.0,,0.0,0.0,Chưa bắt đầu,N/A,N/A,0.0,0.0,0,0,,999,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50.0,0,0,0,2026-03-23 10:33:23,,0
29,151,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,26.0,85.0,Pass,1.0,100.0,Chương 9: Đo lường lãi suất,Đo lường lãi suất_Lợi suất đáo hạn,Trái phiếu trả lãi vô thời hạn & Trái phiếu chiết khấu,99.15,100.0,181,181,2025-11-12 20:53:30,131,0.0,0,90,90,10145,10145,100.0,0,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
30,152,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,26.0,90.0,Pass,1.0,100.0,Tổng kết môn học,Tổng kết môn học,Tổng kết môn học,99.15,100.0,181,181,2025-11-22 04:53:57,121,0.0,0,90,90,10145,10145,100.0,48845,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
31,153,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,72.0,Pass,1.0,100.0,Chương 10: Lý thuyết lượng cầu tài sản,Slide bài giảng tóm tắt chương 10,Slide bài giảng tóm tắt chương 10,99.15,100.0,181,181,2025-10-26 06:02:16,148,0.0,0,90,90,10145,10145,100.0,0,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
32,154,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,28.0,88.0,Pass,1.0,100.0,Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),100.0,100.0,181,181,2025-11-17 16:03:47,126,0.0,0,90,90,10145,10145,100.0,0,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
33,155,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,79.0,Pass,1.0,98.9,Tổng kết môn học,Tổng kết môn học,Tổng kết môn học,99.15,98.9,179,181,2025-11-24 16:22:03,119,0.0,0,89,89,10020,10020,100.0,0,100.0,90,90,0,69606,69606,100.0,100.0,89,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
34,157,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,82.0,Pass,1.0,100.0,Tổng kết môn học,Tổng kết môn học,Tổng kết môn học,99.15,100.0,181,181,2025-10-15 14:51:36,159,0.0,0,90,90,10145,10145,100.0,107690,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
35,158,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,26.0,82.0,Pass,1.0,100.0,Tổng kết môn học,Tổng kết môn học,Tổng kết môn học,99.15,100.0,181,181,2025-10-29 10:04:22,145,0.0,0,90,90,10145,10145,100.0,762585,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
36,160,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,80.0,Pass,1.0,98.9,"Chương 11: Các yếu tố ảnh hưởng đến lãi suất, cấu trúc rủi ro và kỳ hạn của lãi suất",Cấu trúc rủi ro và cấu trúc kỳ hạn của lãi suất,Cấu trúc rủi ro và cấu trúc kỳ hạn của lãi suất (tiếp theo),97.44,98.9,179,181,2025-11-23 23:39:41,120,0.0,0,89,89,10020,10020,100.0,0,100.0,90,90,0,69606,69606,100.0,100.0,89,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
37,161,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,81.0,Pass,1.0,100.0,Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),Bài kiểm tra 05: Các vấn đề cơ bản về tỷ giá (Chương 12),99.15,100.0,181,181,2025-11-18 18:25:29,125,0.0,0,90,90,10145,10145,100.0,5535,100.0,91,91,0,70353,70353,100.0,100.0,90,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
38,163,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,0.0,,0.0,17.68,Chương 3: Chức năng của thị trường tài chính,Chủ thể tham gia thị trường tài chính,Chủ thể tham gia thị trường tài chính,17.95,17.68,32,181,2025-12-18 09:15:58,95,0.0,0,16,15,1565,1710,95.47,1450,93.75,16,16,0,13455,13455,100.0,100.0,15,95.47,93.75,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,0
39,164,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,28.0,30.0,,0.0,60.22,Giới thiệu,Giới thiệu môn học,Giới thiệu,60.68,60.22,109,181,2025-11-17 08:50:38,126,0.0,0,54,54,6165,6165,100.0,809535,100.0,55,55,0,44334,44334,100.0,100.0,54,100.0,100.0,0,0,0,8,1,9,0,0,0.0,0.0,0.0,9.0,90.0,0,1,0,2026-03-23 10:33:23,,0
40,166,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,26.0,87.0,Pass,1.0,53.59,Chương 6: Chi phí giao dịch và thông tin bất cân xứng,Khái niệm Thông tin bất cân xứng,Khái niệm Thông tin bất cân xứng,61.54,53.59,97,181,2025-12-02 18:46:48,111,0.0,0,48,37,4475,5370,83.66,30830,77.08,50,49,1,40103,39527,98.0,98.56,37,83.66,77.08,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,1
41,168,course-v1:DHQG-HCM+FM101+2025_S2,audit,1,27.0,0.0,,0.0,7.73,Chương 1: Đại cương về tiền tệ,Cung tiền và Đo lường (cung) tiền,Cung tiền và Đo lường (cung) tiền,7.69,7.73,14,181,2025-09-15 08:42:22,189,0.0,0,7,7,585,585,100.0,0,100.0,7,7,0,5992,5992,100.0,100.0,7,100.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,90.0,0,1,0,2026-03-23 10:33:23,,0
