feature,importance
current_chapter,19.423658542178487
days_since_last_activity,12.744797351557448
completion_consistency,10.786060952155422
relative_completion,7.794698500012376
progress_rate,6.5570928150078815
current_section,5.541099214616219
mooc_completion_rate,5.0814047149222334
video_completed_videos,3.3364817864884317
video_total_videos,2.764690230662824
h5p_total_time_spent,2.5738617246416666
h5p_completed_contents,2.078229780248805
h5p_total_contents,1.8601395528716345
h5p_total_max_score,1.639390137336144
video_total_watched_time,1.62194331435795
overall_completion,1.618678441934112
quiz_avg_score,1.536287272418802
progress_percent,1.4470568529664674
is_struggling,1.4344082223444838
engagement_score,1.2908394318566563
completed_blocks,0.9339761897924995
is_at_risk,0.7954218907691777
activity_consistency,0.746836469596931
h5p_total_score,0.6474512820889405
quiz_attempts,0.6448348938843915
video_total_duration,0.5949815490066821
interaction_score,0.5202285863868056
quiz_score,0.4974888478487022
video_score,0.47368646230952993
discussion_total_interactions,0.3299954455608895
discussion_engagement_rate,0.3287575010219423
video_watch_rate,0.3081216439866493
discussion_total_upvotes,0.27926852133816155
video_completion_rate,0.270563796429213
video_in_progress_videos,0.24659025493357056
discussion_comments_count,0.24461563791323312
h5p_score,0.19219688122503137
current_unit,0.1901370792366649
total_blocks,0.15285772533672728
discussion_score,0.15056413240182814
discussion_questions_count,0.13819535028754631
relative_to_course_discussion,0.0966566984608854
quiz_completion_rate,0.047813069230901645
video_engagement_rate,0.03794125237509079
is_top_performer,0.0
is_bottom_performer,0.0
is_below_course_average,0.0
weeks_remaining,0.0
performance_percentile,0.0
has_no_discussion,0.0
enrollment_phase,0.0
is_inactive,0.0
is_highly_inactive,0.0
h5p_engagement_rate,0.0
relative_to_course_video_completion,0.0
activity_recency,0.0
enrollment_mode,0.0
relative_to_course_completion,0.0
relative_to_course_problem_score,0.0
weeks_since_enrollment,0.0
access_frequency,0.0
active_days,0.0
h5p_overall_percentage,0.0
h5p_completion_rate,0.0
forum_posts,0.0
forum_comments,0.0
forum_upvotes,0.0
discussion_threads_count,0.0
problem_attempts,0.0
problem_avg_score,0.0
is_active,0.0
video_views,0.0
late_night_ratio,0.0
weekend_ratio,0.0
max_inactive_gap_days,0.0
assessment_attempts_avg,0.0
assessment_improvement_rate,0.0
first_attempt_success_rate,0.0
struggling_assessments_count,0.0
progress_velocity,0.0
progress_acceleration,0.0
weeks_to_complete_estimate,0.0
problem_success_rate,0.0
