fold,train_size,test_size,train_fail_rate,test_fail_rate,accuracy,auc_roc,precision,recall,f1_score,confusion_matrix,tn,fp,fn,tp
1,828,93,0.2995169082125604,0.3010752688172043,0.9247311827956989,0.9835164835164836,0.92,0.8214285714285714,0.8679245283018867,"[[63, 2], [5, 23]]",63,2,5,23
2,829,92,0.2991556091676719,0.30434782608695654,0.9347826086956522,0.9704241071428571,0.9230769230769231,0.8571428571428571,0.888888888888889,"[[62, 2], [4, 24]]",62,2,4,24
3,829,92,0.2991556091676719,0.30434782608695654,0.9021739130434783,0.9709821428571428,0.8275862068965517,0.8571428571428571,0.8421052631578947,"[[59, 5], [4, 24]]",59,5,4,24
4,829,92,0.2991556091676719,0.30434782608695654,0.9456521739130435,0.9810267857142857,0.9259259259259259,0.8928571428571429,0.9090909090909091,"[[62, 2], [3, 25]]",62,2,3,25
5,829,92,0.2991556091676719,0.30434782608695654,0.967391304347826,0.9949776785714286,0.9629629629629629,0.9285714285714286,0.9454545454545454,"[[63, 1], [2, 26]]",63,1,2,26
6,829,92,0.2991556091676719,0.30434782608695654,0.9021739130434783,0.9765625,0.88,0.7857142857142857,0.830188679245283,"[[61, 3], [6, 22]]",61,3,6,22
7,829,92,0.30036188178528345,0.29347826086956524,0.8695652173913043,0.9612535612535612,0.8,0.7407407407407407,0.7692307692307692,"[[60, 5], [7, 20]]",60,5,7,20
8,829,92,0.30036188178528345,0.29347826086956524,0.9347826086956522,0.972079772079772,0.8888888888888888,0.8888888888888888,0.8888888888888888,"[[62, 3], [3, 24]]",62,3,3,24
9,829,92,0.30036188178528345,0.29347826086956524,0.9239130434782609,0.976068376068376,0.9545454545454546,0.7777777777777778,0.8571428571428572,"[[64, 1], [6, 21]]",64,1,6,21
10,829,92,0.30036188178528345,0.29347826086956524,0.9021739130434783,0.9732193732193732,0.8214285714285714,0.8518518518518519,0.8363636363636364,"[[60, 5], [4, 23]]",60,5,4,23
