fold,train_size,test_size,train_fail_rate,test_fail_rate,accuracy,auc_roc,precision,recall,f1_score,confusion_matrix,tn,fp,fn,tp
1,829,93,0.30036188178528345,0.3010752688172043,0.9354838709677419,0.9873626373626372,0.9583333333333334,0.8214285714285714,0.8846153846153847,"[[64, 1], [5, 23]]",64,1,5,23
2,829,93,0.30036188178528345,0.3010752688172043,0.9032258064516129,0.9631868131868131,0.9130434782608695,0.75,0.8235294117647057,"[[63, 2], [7, 21]]",63,2,7,21
3,830,92,0.3,0.30434782608695654,0.8804347826086957,0.9626116071428572,0.7741935483870968,0.8571428571428571,0.8135593220338982,"[[57, 7], [4, 24]]",57,7,4,24
4,830,92,0.3,0.30434782608695654,0.9021739130434783,0.9782366071428572,0.8275862068965517,0.8571428571428571,0.8421052631578947,"[[59, 5], [4, 24]]",59,5,4,24
5,830,92,0.3,0.30434782608695654,0.9239130434782609,0.9860491071428571,0.9565217391304348,0.7857142857142857,0.8627450980392156,"[[63, 1], [6, 22]]",63,1,6,22
6,830,92,0.3,0.30434782608695654,0.9239130434782609,0.98046875,0.92,0.8214285714285714,0.8679245283018867,"[[62, 2], [5, 23]]",62,2,5,23
7,830,92,0.3,0.30434782608695654,0.9239130434782609,0.9810267857142857,0.8620689655172413,0.8928571428571429,0.8771929824561403,"[[60, 4], [3, 25]]",60,4,3,25
8,830,92,0.30120481927710846,0.29347826086956524,0.9239130434782609,0.9754985754985754,0.8846153846153846,0.8518518518518519,0.8679245283018868,"[[62, 3], [4, 23]]",62,3,4,23
9,830,92,0.30120481927710846,0.29347826086956524,0.9130434782608695,0.9811965811965812,0.9130434782608695,0.7777777777777778,0.84,"[[63, 2], [6, 21]]",63,2,6,21
10,830,92,0.30120481927710846,0.29347826086956524,0.9347826086956522,0.978917378917379,0.8620689655172413,0.9259259259259259,0.8928571428571429,"[[61, 4], [2, 25]]",61,4,2,25
