fold,train_size,test_size,train_fail_rate,test_fail_rate,accuracy,auc_roc,precision,recall,f1_score,confusion_matrix,tn,fp,fn,tp
1,829,93,0.30036188178528345,0.3010752688172043,0.946236559139785,0.9873626373626374,0.9259259259259259,0.8928571428571429,0.9090909090909091,"[[63, 2], [3, 25]]",63,2,3,25
2,829,93,0.30036188178528345,0.3010752688172043,0.8494623655913979,0.9423076923076923,0.71875,0.8214285714285714,0.7666666666666666,"[[56, 9], [5, 23]]",56,9,5,23
3,830,92,0.3,0.30434782608695654,0.9021739130434783,0.9849330357142857,0.8064516129032258,0.8928571428571429,0.8474576271186439,"[[58, 6], [3, 25]]",58,6,3,25
4,830,92,0.3,0.30434782608695654,0.9021739130434783,0.96484375,0.8518518518518519,0.8214285714285714,0.8363636363636364,"[[60, 4], [5, 23]]",60,4,5,23
5,830,92,0.3,0.30434782608695654,0.9021739130434783,0.9656808035714286,0.8275862068965517,0.8571428571428571,0.8421052631578947,"[[59, 5], [4, 24]]",59,5,4,24
6,830,92,0.3,0.30434782608695654,0.9130434782608695,0.9782366071428572,0.9166666666666666,0.7857142857142857,0.8461538461538461,"[[62, 2], [6, 22]]",62,2,6,22
7,830,92,0.3,0.30434782608695654,0.8804347826086957,0.9637276785714286,0.7931034482758621,0.8214285714285714,0.8070175438596492,"[[58, 6], [5, 23]]",58,6,5,23
8,830,92,0.30120481927710846,0.29347826086956524,0.8695652173913043,0.9561253561253561,0.7777777777777778,0.7777777777777778,0.7777777777777778,"[[59, 6], [6, 21]]",59,6,6,21
9,830,92,0.30120481927710846,0.29347826086956524,0.8913043478260869,0.972079772079772,0.7931034482758621,0.8518518518518519,0.8214285714285715,"[[59, 6], [4, 23]]",59,6,4,23
10,830,92,0.30120481927710846,0.29347826086956524,0.9130434782608695,0.9743589743589743,0.8275862068965517,0.8888888888888888,0.8571428571428572,"[[60, 5], [3, 24]]",60,5,3,24
