model,fold,accuracy,auc_roc,precision,recall,f1_score
Logistic Regression,1,0.8924731182795699,0.9548483612131102,0.7846153846153846,0.8947368421052632,0.8360655737704918
Logistic Regression,2,0.8602150537634409,0.9498164014687883,0.7313432835820896,0.8596491228070176,0.7903225806451613
Logistic Regression,3,0.9032258064516129,0.9628722970216239,0.8,0.9122807017543859,0.8524590163934426
Logistic Regression,4,0.8486486486486486,0.9364617940199336,0.6944444444444444,0.8928571428571429,0.78125
Logistic Regression,5,0.8972972972972973,0.9479512735326688,0.8032786885245902,0.875,0.8376068376068376
Random Forest,1,0.9139784946236559,0.9745682034543725,0.8253968253968254,0.9122807017543859,0.8666666666666667
Random Forest,2,0.8978494623655914,0.9488644090847272,0.8275862068965517,0.8421052631578947,0.8347826086956521
Random Forest,3,0.8978494623655914,0.9632802937576499,0.8392857142857143,0.8245614035087719,0.831858407079646
Random Forest,4,0.8432432432432433,0.9453211517165006,0.7076923076923077,0.8214285714285714,0.7603305785123967
Random Forest,5,0.9027027027027027,0.9577796234772978,0.88,0.7857142857142857,0.8301886792452831
SVM,1,0.8978494623655914,0.9354005167958656,0.7714285714285715,0.9473684210526315,0.8503937007874016
SVM,2,0.8387096774193549,0.9084727322181422,0.6901408450704225,0.8596491228070176,0.765625
SVM,3,0.9032258064516129,0.9616483068135455,0.7910447761194029,0.9298245614035088,0.8548387096774194
SVM,4,0.8378378378378378,0.91625138427464,0.6756756756756757,0.8928571428571429,0.7692307692307693
SVM,5,0.8702702702702703,0.9458748615725359,0.7758620689655172,0.8035714285714286,0.7894736842105263
Gradient Boosting,1,0.9086021505376344,0.9717802257581939,0.8571428571428571,0.8421052631578947,0.8495575221238938
Gradient Boosting,2,0.8817204301075269,0.9567523459812322,0.8181818181818182,0.7894736842105263,0.8035714285714286
Gradient Boosting,3,0.8924731182795699,0.9571603427172583,0.8245614035087719,0.8245614035087719,0.8245614035087719
Gradient Boosting,4,0.8648648648648649,0.9504429678848283,0.7540983606557377,0.8214285714285714,0.7863247863247863
Gradient Boosting,5,0.8702702702702703,0.9565337763012182,0.9,0.6428571428571429,0.75
LightGBM,1,0.9193548387096774,0.9813681490548076,0.8181818181818182,0.9473684210526315,0.8780487804878049
LightGBM,2,0.8709677419354839,0.9613763089895281,0.7323943661971831,0.9122807017543859,0.8125
LightGBM,3,0.9139784946236559,0.9718482252141983,0.8153846153846154,0.9298245614035088,0.8688524590163934
LightGBM,4,0.8540540540540541,0.9562569213732004,0.704225352112676,0.8928571428571429,0.7874015748031497
LightGBM,5,0.8702702702702703,0.961655592469546,0.7758620689655172,0.8035714285714286,0.7894736842105263
XGBoost,1,0.9139784946236559,0.9813681490548075,0.8360655737704918,0.8947368421052632,0.864406779661017
XGBoost,2,0.8817204301075269,0.9585203318373452,0.8431372549019608,0.7543859649122807,0.7962962962962963
XGBoost,3,0.8924731182795699,0.9635522915816673,0.8627450980392157,0.7719298245614035,0.8148148148148148
XGBoost,4,0.8594594594594595,0.9517580287929125,0.734375,0.8392857142857143,0.7833333333333333
XGBoost,5,0.8864864864864865,0.9645625692137321,0.8888888888888888,0.7142857142857143,0.7920792079207921
CatBoost,1,0.9139784946236559,0.9800081599347205,0.8153846153846154,0.9298245614035088,0.8688524590163934
CatBoost,2,0.8870967741935484,0.960016319869441,0.7571428571428571,0.9298245614035088,0.8346456692913385
CatBoost,3,0.8924731182795699,0.9702162382700938,0.7605633802816901,0.9473684210526315,0.84375
CatBoost,4,0.8324324324324325,0.957779623477298,0.6623376623376623,0.9107142857142857,0.7669172932330827
CatBoost,5,0.8756756756756757,0.9602713178294573,0.7704918032786885,0.8392857142857143,0.8034188034188035
