model,fold,accuracy,auc_roc,precision,recall,f1_score
Logistic Regression,1,0.9891891891891892,0.9984772978959026,1.0,0.9642857142857143,0.9818181818181818
Logistic Regression,2,0.9565217391304348,0.9952078928823114,0.8983050847457628,0.9636363636363636,0.9298245614035088
Logistic Regression,3,1.0,1.0,1.0,1.0,1.0
Logistic Regression,4,0.9836956521739131,0.9997181113460184,1.0,0.9454545454545454,0.9719626168224299
Logistic Regression,5,0.9891304347826086,0.9922480620155039,0.9818181818181818,0.9818181818181818,0.9818181818181818
Random Forest,1,0.9837837837837838,0.9977851605758583,0.9649122807017544,0.9821428571428571,0.9734513274336283
Random Forest,2,0.9891304347826086,0.9961945031712474,1.0,0.9636363636363636,0.9814814814814815
Random Forest,3,0.9945652173913043,1.0,1.0,0.9818181818181818,0.9908256880733946
Random Forest,4,0.9891304347826086,0.9994362226920368,1.0,0.9636363636363636,0.9814814814814815
Random Forest,5,0.9891304347826086,0.9994362226920367,1.0,0.9636363636363636,0.9814814814814815
SVM,1,0.9837837837837838,0.9914174972314507,1.0,0.9464285714285714,0.9724770642201835
SVM,2,0.9402173913043478,0.9777307963354476,0.8548387096774194,0.9636363636363636,0.905982905982906
SVM,3,0.9836956521739131,0.9995771670190274,1.0,0.9454545454545454,0.9719626168224299
SVM,4,0.9565217391304348,0.9967582804792108,0.8983050847457628,0.9636363636363636,0.9298245614035088
SVM,5,0.9782608695652174,0.9988724453840733,1.0,0.9272727272727272,0.9622641509433962
Gradient Boosting,1,0.9891891891891892,0.9988925802879292,0.9821428571428571,0.9821428571428571,0.9821428571428571
Gradient Boosting,2,0.9891304347826086,0.96723044397463,1.0,0.9636363636363636,0.9814814814814815
Gradient Boosting,3,1.0,1.0,1.0,1.0,1.0
Gradient Boosting,4,0.9945652173913043,0.9997181113460183,0.9821428571428571,1.0,0.990990990990991
Gradient Boosting,5,1.0,1.0,1.0,1.0,1.0
LightGBM,1,0.9837837837837838,0.9993078626799557,0.9649122807017544,0.9821428571428571,0.9734513274336283
LightGBM,2,0.9836956521739131,0.9936575052854123,0.9814814814814815,0.9636363636363636,0.9724770642201835
LightGBM,3,1.0,1.0,1.0,1.0,1.0
LightGBM,4,0.9891304347826086,0.9991543340380549,0.9818181818181818,0.9818181818181818,0.9818181818181818
LightGBM,5,0.9945652173913043,1.0,1.0,0.9818181818181818,0.9908256880733946
XGBoost,1,0.9891891891891892,0.9986157253599114,1.0,0.9642857142857143,0.9818181818181818
XGBoost,2,0.9836956521739131,0.9957716701902748,0.9814814814814815,0.9636363636363636,0.9724770642201835
XGBoost,3,1.0,1.0,1.0,1.0,1.0
XGBoost,4,0.9836956521739131,0.9977448907681467,0.9814814814814815,0.9636363636363636,0.9724770642201835
XGBoost,5,0.9945652173913043,0.9997181113460183,1.0,0.9818181818181818,0.9908256880733946
CatBoost,1,0.9837837837837838,0.9994462901439645,1.0,0.9464285714285714,0.9724770642201835
CatBoost,2,0.967391304347826,0.9957716701902748,0.9298245614035088,0.9636363636363636,0.9464285714285714
CatBoost,3,0.9891304347826086,0.9999999999999999,1.0,0.9636363636363636,0.9814814814814815
CatBoost,4,0.9836956521739131,0.9998590556730091,1.0,0.9454545454545454,0.9719626168224299
CatBoost,5,0.9891304347826086,1.0,1.0,0.9636363636363636,0.9814814814814815
