model,fold,accuracy,auc_roc,precision,recall,f1_score
Logistic Regression,1,0.8548387096774194,0.9299605603155175,0.7142857142857143,0.8771929824561403,0.7874015748031497
Logistic Regression,2,0.8978494623655914,0.9689922480620156,0.796875,0.8947368421052632,0.8429752066115702
Logistic Regression,3,0.8870967741935484,0.958656330749354,0.7903225806451613,0.8596491228070176,0.8235294117647058
Logistic Regression,4,0.8648648648648649,0.9277408637873754,0.7066666666666667,0.9464285714285714,0.8091603053435115
Logistic Regression,5,0.9081081081081082,0.9613787375415282,0.819672131147541,0.8928571428571429,0.8547008547008547
Random Forest,1,0.8548387096774194,0.9325445396436829,0.7586206896551724,0.7719298245614035,0.7652173913043478
Random Forest,2,0.9032258064516129,0.9742962056303549,0.8095238095238095,0.8947368421052632,0.85
Random Forest,3,0.8978494623655914,0.9722562219502243,0.8275862068965517,0.8421052631578947,0.8347826086956521
Random Forest,4,0.8756756756756757,0.948781838316722,0.7704918032786885,0.8392857142857143,0.8034188034188035
Random Forest,5,0.8918918918918919,0.9673311184939093,0.875,0.75,0.8076923076923077
SVM,1,0.8387096774193549,0.9111927104583163,0.6901408450704225,0.8596491228070176,0.765625
SVM,2,0.8978494623655914,0.9503603971168231,0.7638888888888888,0.9649122807017544,0.8527131782945736
SVM,3,0.8924731182795699,0.9517203862369101,0.7936507936507936,0.8771929824561403,0.8333333333333334
SVM,4,0.8594594594594595,0.921234772978959,0.6973684210526315,0.9464285714285714,0.803030303030303
SVM,5,0.8864864864864865,0.9421373200442967,0.8181818181818182,0.8035714285714286,0.8108108108108109
Gradient Boosting,1,0.8924731182795699,0.9575683394532843,0.8135593220338984,0.8421052631578947,0.8275862068965517
Gradient Boosting,2,0.9032258064516129,0.9747042023663811,0.8095238095238095,0.8947368421052632,0.85
Gradient Boosting,3,0.9193548387096774,0.9711682306541549,0.8620689655172413,0.8771929824561403,0.8695652173913043
Gradient Boosting,4,0.8486486486486486,0.9443521594684385,0.7692307692307693,0.7142857142857143,0.7407407407407407
Gradient Boosting,5,0.8918918918918919,0.9723837209302325,0.86,0.7678571428571429,0.8113207547169812
LightGBM,1,0.8709677419354839,0.95172038623691,0.7704918032786885,0.8245614035087719,0.7966101694915254
LightGBM,2,0.8870967741935484,0.9794641642866857,0.7647058823529411,0.9122807017543859,0.832
LightGBM,3,0.8978494623655914,0.9751121991024072,0.7878787878787878,0.9122807017543859,0.8455284552845529
LightGBM,4,0.8594594594594595,0.948920265780731,0.75,0.8035714285714286,0.7758620689655172
LightGBM,5,0.9135135135135135,0.9750830564784054,0.8225806451612904,0.9107142857142857,0.864406779661017
XGBoost,1,0.8763440860215054,0.9499524003807969,0.8269230769230769,0.7543859649122807,0.7889908256880734
XGBoost,2,0.8978494623655914,0.9726642186862505,0.796875,0.8947368421052632,0.8429752066115702
XGBoost,3,0.8978494623655914,0.9692642458860329,0.8392857142857143,0.8245614035087719,0.831858407079646
XGBoost,4,0.8702702702702703,0.9524501661129569,0.8076923076923077,0.75,0.7777777777777778
XGBoost,5,0.8864864864864865,0.971483942414175,0.8723404255319149,0.7321428571428571,0.7961165048543689
CatBoost,1,0.8655913978494624,0.9491364069087448,0.7580645161290323,0.8245614035087719,0.7899159663865546
CatBoost,2,0.8924731182795699,0.9788521691826466,0.7466666666666667,0.9824561403508771,0.8484848484848485
CatBoost,3,0.9032258064516129,0.9781041751665986,0.8095238095238095,0.8947368421052632,0.85
CatBoost,4,0.8594594594594595,0.9479512735326688,0.7083333333333334,0.9107142857142857,0.796875
CatBoost,5,0.8972972972972973,0.9739756367663345,0.8363636363636363,0.8214285714285714,0.8288288288288288
